0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39775
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/css/main.css HTTP/1.1" 200 6185
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/css/homepage/carousel.css HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/css/homepage/base.css HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 200 93868
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/css/head.css HTTP/1.1" 200 12703
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/banner1.jpg HTTP/1.1" 200 146270
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/banner3.jpg HTTP/1.1" 200 136666
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/banner2.jpg HTTP/1.1" 200 91161
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/tit1.jpg HTTP/1.1" 200 72430
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/u53.png HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/logo2.png HTTP/1.1" 200 4882
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/u57.png HTTP/1.1" 200 84064
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/u69.png HTTP/1.1" 200 64529
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/u62.png HTTP/1.1" 200 90541
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/images/homepage/zoom.jpg HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/static/css/image/sprite.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:43 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39775
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:20:44 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39775
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:21:15 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39775
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:21:16 +0800] "GET /shop/static/css/image/sprite.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39780
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/css/homepage/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/css/homepage/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/tit1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/u53.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/u57.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/u62.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/u69.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/images/homepage/zoom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:22:56 +0800] "GET /shop/static/css/image/sprite.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39802
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/css/homepage/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/css/homepage/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/tit1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/u53.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/u57.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/u62.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/u69.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/images/homepage/zoom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:22:23:16 +0800] "GET /shop/static/css/image/sprite.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/ HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/css/base.css HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/css/styles.css HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/js/easyui/jquery-1.7.2.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/js/easyui/jquery.easyui.min.js HTTP/1.1" 200 281504
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/css/jquery-ui-themes.css HTTP/1.1" 200 28572
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/js/easyui/themes/default/easyui.css HTTP/1.1" 200 32677
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/js/easyui/themes/icon.css HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/css/login/login.css HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/js/login/login.js HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/images/login/bg2.jpg HTTP/1.1" 200 139868
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/homePageCtrl/toHeader.do HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/homePageCtrl/toFooter.do HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/homemainCtrl/login.do HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:15 +0800] "GET /shop/static/images/login/logo.png HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:18 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39874
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:18 +0800] "GET /shop/static/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:18 +0800] "GET /shop/static/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:18 +0800] "GET /shop/static/css/image/sprite.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:24 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39877
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/css/homepage/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/css/homepage/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/tit1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/u53.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/u62.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/u57.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/u69.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/images/homepage/zoom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:29 +0800] "GET /shop/static/css/image/sprite.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:43 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39881
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:43 +0800] "GET /shop/static/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:43 +0800] "GET /shop/static/css/homepage/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:43 +0800] "GET /shop/static/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:43 +0800] "GET /shop/static/css/homepage/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:43 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:43 +0800] "GET /shop/static/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:43 +0800] "GET /shop/static/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:43 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/tit1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/u53.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/u57.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/u62.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/u69.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/images/homepage/zoom.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:44 +0800] "GET /shop/static/css/image/sprite.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/homePageCtrl/toHomePage.do HTTP/1.1" 200 39886
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/css/homepage/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/css/homepage/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/js/jquery-1.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/images/homepage/tit1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/images/homepage/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/images/homepage/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/images/homepage/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/images/homepage/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:01:55 +0800] "GET /shop/static/images/homepage/u62.png HTTP/1.1" 304 -
